 written on 19Jul2020 at 16:10:25 
   134.22225299999999       -1.0362302350000000E-014   0.0000000000000000     
   67.111126499999997        116.23988079999999        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        137.57225299999999     
          12
         147
    1    1    2    1    1    1    1    1    2    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    2    1    1    1    1    1    1    1
    1    1    1    1    2    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    2    1    1    1    1    1    2    1    1

   -7    3    0
    3    1   -0.47198332E-05  0.11719435E-06
    4    1    0.26897393E-05 -0.48946588E-07
    5    1    0.31367484E-05  0.13746871E-06
    6    1   -0.35446134E-07  0.59257351E-07
    7    1    0.11911190E-06 -0.23076141E-06
    8    1   -0.51727461E-06  0.86329662E-07
    9    1   -0.50029166E-05 -0.19968002E-06
   10    1   -0.17460314E-05 -0.79688825E-09
   11    1    0.58268661E-05 -0.11499170E-06
   12    1    0.94383935E-06  0.16939429E-06
    1    2    0.49778969E-08  0.47857352E-06
    2    2    0.30692018E-06  0.22294969E-14
    3    2    0.25449512E-05 -0.14311342E-07
    4    2    0.44258816E-05  0.13487278E-07
    5    2    0.14519046E-06 -0.37204929E-07
    6    2    0.32041653E-05  0.11762294E-06
    7    2   -0.55805479E-07  0.80725874E-07
    8    2   -0.80776672E-08 -0.17675224E-06
    9    2    0.25090797E-05  0.43578888E-07
   10    2   -0.53439973E-05 -0.57546203E-07
   11    2   -0.94707904E-06 -0.21487636E-06
   12    2    0.57197656E-05 -0.22194066E-06
    1    3   -0.47198392E-05 -0.11719486E-06
    2    3    0.25449883E-05  0.14310466E-07
    3    3   -0.31907960E-05  0.25972136E-12
